ID,Start time,Completion time,Email,Name,Do you use Jo Malone London Fragrances/Colognes?,What age group do you feel?,What pronouns do you feel?,Which country/region do you reside in?,"Which culture do you feel you belong to? (ex: country, ethnicity, etc) (Multiple answers accepted)",Do you have any experience on struggling to smell or identify scents? ,"What fragrance do you use most frequently? (In case you have forgotten the name, refer to the website below)","On what occasion do you use it? (If you have any other occasions, please state it below)",What are you opinions on the fragrance? How do you feel about it?,Do you use another Jo Malone London Fragrance/Cologne?,"What is the name of the fragrance? (In case you have forgotten the name, refer to the website below)","On what occasion do you use it? (If you have any other occasions, please state it below)2",What are you opinions on the fragrance? How do you feel about it?2,Do you use another Jo Malone London Fragrance/Cologne?2,"What is the name of the fragrance? (In case you have forgotten the name, refer to the website below)2","On what occasion do you use it? (If you have any other occasions, please state it below)3",What are you opinions on the fragrance? How do you feel about it?3
2,2/15/23 9:39:01,2/15/23 9:39:20,anonymous,,No,,,,,,,,,,,,,,,,
3,2/15/23 9:38:29,2/15/23 9:40:14,anonymous,,Yes,,,,,,Peony and Blush ,Casual;Date;,I feel happy and fresh while using the fragrance. ,Yes,English Pear and Freesia ,Driving ;,"I love how flowery and fresh the scent is, helps me to calm down during traffic jam ",No,,,
4,2/15/23 14:36:52,2/15/23 14:37:31,anonymous,,Yes,25-34,She/Her,,,Prefer not to say,wood sage and sea salt ,Casual;Formal;Night out/Evening;,Loved it from the first time I've tried it. ,No,,,,,,,
5,2/16/23 15:16:47,2/16/23 15:18:24,anonymous,,Yes,25-34,She/Her,MALAYSIA,MALAY,No,ENGLISH PEAR,Casual;,NICE,Yes,PEONY BLUSH,Casual;,SMELLS LIKE A PRETTY GIRL,No,,,
6,2/16/23 15:18:47,2/16/23 15:18:53,anonymous,,No,,,,,,,,,,,,,,,,
7,2/16/23 15:19:01,2/16/23 15:19:11,anonymous,,No,,,,,,,,,,,,,,,,
8,2/16/23 15:17:15,2/16/23 15:19:12,anonymous,,Yes,18-24,She/Her,Malaysia,Malaysian,No,english pear,Casual;At Work;Vacation;,"soft, doesnt last long",Yes,peony blush,Casual;After Work;Wedding;,soft,No,,,
9,2/16/23 15:16:54,2/16/23 15:19:39,anonymous,,Yes,35-44,He/His,Kuala Lumpur ,Asian Culture ,No,Wood Sage ,Casual;Formal;Night out/Evening;At Work;After Work;Date night;Wedding;,Feel good and great! ,No,,,,,,,
10,2/16/23 15:17:15,2/16/23 15:20:34,anonymous,,Yes,25-34,She/Her,Malaysia,Malaysia,No,Nectarine Blossom & Honey,Casual;Formal;Night out/Evening;At Work;After Work;Date night;Wedding;Vacation;,"It's my favourite scent, I use it everyday and my friends and family associate me with the smell",No,,,,,,,
11,2/16/23 15:19:04,2/16/23 15:20:54,anonymous,,Yes,35-44,She/Her,Malaysia,Malaysia,No,English Pear & Freesia Cologne,Formal;At Work;Wedding;Date night;,"feel fresh, not sweet smell ",No,,,,,,,
